timestamp,start,end,distance,intersection,traffic,obstacle,time,score,is_chosen,Speed,Road_type,One_way
2024-12-15 08:27:02,626359041,606333033,98.1,6,Clear,0,Morning_Peak,7.06,YES,40.0,Small_Alley,No
2024-12-15 09:17:12,6039301007,510113893,28.8,4,Clear,0,Morning_Peak,2.07,YES,40.0,Local_Street,Yes
2024-12-15 07:15:16,9058221265,9058221313,186.0,6,Clear,0,Morning_Peak,13.39,YES,40.0,Small_Alley,No
2024-12-15 09:36:09,9015734159,7028037348,50.7,6,Clear,0,Morning_Peak,9.13,YES,40.0,Small_Alley,No
2024-12-15 09:07:52,9391757745,11198932830,168.3,6,Congested,1,Morning_Peak,9999999.0,YES,40.0,Small_Alley,No
2024-12-15 08:39:56,9116081427,9116081426,35.1,8,Congested,1,Morning_Peak,9999999.0,YES,40.0,Small_Alley,No
2024-12-15 07:23:35,9115985091,9115985088,15.3,8,Clear,0,Morning_Peak,1.1,YES,40.0,Small_Alley,No
2024-12-15 07:22:38,5644986311,9063411347,94.4,8,Clear,0,Morning_Peak,6.79,YES,40.0,Small_Alley,No
2024-12-15 07:28:09,9063411348,5644986311,111.6,6,Clear,0,Morning_Peak,8.04,YES,40.0,Small_Alley,No
2024-12-15 08:13:37,6029799708,9015734161,8.2,4,Clear,0,Morning_Peak,1.48,YES,40.0,Small_Alley,No
2024-12-15 07:08:12,6039301009,6039301007,77.3,4,Clear,0,Morning_Peak,5.56,YES,40.0,Local_Street,Yes
2024-12-15 08:52:09,9015734160,9015734159,47.3,8,Clear,0,Morning_Peak,4.26,YES,40.0,Small_Alley,No
2024-12-15 09:28:45,347301755,9063411338,6.3,5,Clear,0,Morning_Peak,0.45,YES,40.0,Local_Street,Yes
2024-12-15 07:44:38,9116081428,9116081427,46.3,6,Clear,0,Morning_Peak,3.34,YES,40.0,Small_Alley,No
2024-12-15 09:19:16,9061430087,9058221312,84.6,6,Clear,0,Morning_Peak,6.09,YES,40.0,Small_Alley,No
